# 20230428T1139
sample_num	sample	read_type	source	cell	project_phase	data_production	HHU_complete	sin
15	HG02018	ONT	UW	20221206_HG02018_UL_eee-prom1-2C-PAG68624_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02018
15	HG02018	ONT	UW	20221207_HG02018_UL_eee-prom1-2C-PAG68624_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02018
15	HG02018	ONT	UW	20230210_HG02018_UL_eee-prom1-3B-PAG76493_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02018
16	NA19036	HiFi	UW	m64076_220125_004322	Yr1,Yr3	complete	yes	SIN:19036
16	NA19036	HiFi	UW	m64076_220129_125006	Yr1,Yr3	complete	yes	SIN:19036
16	NA19036	HiFi	UW	m64076_220130_234407	Yr1,Yr3	complete	yes	SIN:19036
16	NA19036	ONT	UW	20221101_NA19036_UL_eee-prom1-1F-PAM77935_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19036
16	NA19036	ONT	UW	20221108_NA19036_UL_eee-prom1-3C-PAM78532_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19036
16	NA19036	ONT	UW	20221110_NA19036_UL_eee-prom1-3C-PAM78532_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19036
16	NA19036	ONT	UW	20221115_NA19036_UL_eee-prom1-2B-PAM78537_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19036
16	NA19036	ONT	UW	20221130_NA19036_UL_eee-prom1-2D-PAG70076_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19036
16	NA19036	ONT	UW	20230210_NA19036_UL_eee-prom1-3C-PAG85559_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19036
17	NA12329	HiFi	UW	m64076_220122_011847	Yr1,Yr3	incomplete	no	SIN:12329
17	NA12329	HiFi	UW	m64076_220126_113534	Yr1,Yr3	incomplete	no	SIN:12329
17	NA12329	HiFi	UW	m64076_220128_015732	Yr1,Yr3	incomplete	no	SIN:12329
18	HG02011	HiFi	JAX	JAX_HiFi_HG02011_m64039_220121_204950	Yr1,Yr3	incomplete	no	SIN:02011
18	HG02011	HiFi	JAX	JAX_HiFi_HG02011_m64119_220104_202343	Yr1,Yr3	incomplete	no	SIN:02011
18	HG02011	HiFi	JAX	JAX_HiFi_HG02011_m64119_220114_220850	Yr1,Yr3	incomplete	no	SIN:02011
18	HG02011	ONT	JAX	20220322_220316_21-lee-006_PC24B149_3F	Yr1,Yr3	incomplete	no	SIN:02011
18	HG02011	ONT	JAX	20220405_220329_21-lee-006_PC24B149_2F	Yr1,Yr3	incomplete	no	SIN:02011
18	HG02011	ONT	JAX	20220405_220330_21-lee-006_PC24B149_1D	Yr1,Yr3	incomplete	no	SIN:02011
19	NA19983	HiFi	UW	m54329U_220211_113834	Yr1,Yr3	complete	yes	SIN:19983
19	NA19983	HiFi	UW	m54329U_220219_025145	Yr1,Yr3	complete	yes	SIN:19983
19	NA19983	HiFi	UW	m64076_220217_122931	Yr1,Yr3	complete	yes	SIN:19983
19	NA19983	ONT	UW	20230131_NA19983_UL_eee-prom1-2G-PAG79639_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19983
19	NA19983	ONT	UW	20230131_NA19983_UL_eee-prom1-3H-PAG84419_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19983
19	NA19983	ONT	UW	20230201_NA19983_UL_eee-prom1-3H-PAG84419_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19983
19	NA19983	ONT	UW	20230202_NA19983_UL_eee-prom1-3H-PAG84419_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19983
19	NA19983	ONT	UW	20230207_NA19983_UL_eee-prom1-3H-PAG66270_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19983
19	NA19983	ONT	UW	20230208_NA19983_UL_eee-prom1-2F-PAG84371_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19983
19	NA19983	ONT	UW	20230209_NA19983_UL_eee-prom1-3H-PAG66270_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19983
19	NA19983	ONT	UW	20230214_NA19983_UL_eee-prom1-3B-PAM44162_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19983
19	NA19983	ONT	UW	20230215_NA19983_UL_eee-prom1-3B-PAM44162_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:19983
20	HG03371	HiFi	JAX	JAX_HiFi_HG03371_m64039_220209_170329	Yr1,Yr3	incomplete	no	SIN:03371
20	HG03371	HiFi	JAX	JAX_HiFi_HG03371_m64119_220123_063014	Yr1,Yr3	incomplete	no	SIN:03371
